model_output_id,canonical_sci,canonical_zh,canonical_en,family_sci,family_zh,order_sci,iucn,protect_level,v3_n,v1_n,aug_n,in_china_v12,note
694,Ianthocincla cineracea,灰翅噪鹛,moustached laughingthrush,Leiothrichidae,噪鹛科,PASSERIFORMES,LC,,116,116,0,true,
695,Ianthocincla lunulata,斑背噪鹛,barred laughingthrush,Leiothrichidae,噪鹛科,PASSERIFORMES,LC,二级,114,114,0,true,
696,Ianthocincla maxima,大噪鹛,giant laughingthrush,Leiothrichidae,噪鹛科,PASSERIFORMES,LC,二级,133,133,0,true,
697,Ianthocincla ocellata,眼纹噪鹛,spotted laughingthrush,Leiothrichidae,噪鹛科,PASSERIFORMES,LC,二级,98,98,0,true,
698,Ianthocincla rufogularis,棕颏噪鹛,rufous chinned laughingthrush,Leiothrichidae,噪鹛科,PASSERIFORMES,LC,,96,55,41,true,
699,Ianthocincla sukatschewi,黑额山噪鹛,snowy cheeked laughingthrush,Leiothrichidae,噪鹛科,PASSERIFORMES,VU,一级,99,71,28,true,
700,Ibidorhyncha struthersii,鹮嘴鹬,ibisbill,Ibidorhynchidae,鹮嘴鹬科,CHARADRIIFORMES,LC,二级,346,346,0,true,
701,Ichthyaetus ichthyaetus,渔鸥,pallas's gull,Laridae,鸥科,CHARADRIIFORMES,LC,,409,409,0,true,
702,Ichthyaetus relictus,遗鸥,relict gull,Laridae,鸥科,CHARADRIIFORMES,VU,一级,233,233,0,true,
704,Icthyophaga leucogaster,白腹海雕,white bellied sea eagle,Accipitridae,鹰科,ACCIPITRIFORMES,LC,一级,112,112,0,true,由Haliaeetus属移入重新恢复的Icthyophaga属（Mindell et al. 2018）
705,Ictinaetus malaiensis,林雕,black eagle,Accipitridae,鹰科,ACCIPITRIFORMES,LC,二级,613,613,0,true,
706,Iduna caligata,靴篱莺,booted warbler,Acrocephalidae,苇莺科,PASSERIFORMES,LC,,139,139,0,true,
708,Iduna rama,赛氏篱莺,sykes's warbler,Acrocephalidae,苇莺科,PASSERIFORMES,LC,,87,45,42,true,
709,Indicator xanthonotus,黄腰响蜜䴕,yellow rumped honeyguide,Indicatoridae,响蜜鴷科,PICIFORMES,LC,,87,34,53,true,IUCN红色名录等级由NT降为LC
710,Iole propinqua,灰眼短脚鹎,grey eyed bulbul,Pycnonotidae,鹎科,PASSERIFORMES,LC,,83,83,0,true,
